"","Survived","Pclass","Sex","Age","Fare","Embarked","hasFamily","Title"
"127","0","3","male",65,7.75,"Q","0","Mr"
"128","1","3","male",24,7.1417,"S","0","Mr"
"129","1","3","female",0,22.3583,"C","1","Miss"
"130","0","3","male",45,6.975,"S","0","Mr"
"131","0","3","male",33,7.8958,"C","0","Mr"
"132","0","3","male",20,7.05,"S","0","Mr"
"133","0","3","female",47,14.5,"S","1","Mrs"
"134","1","2","female",29,26,"S","1","Mrs"
"135","0","2","male",25,13,"S","0","Mr"
"136","0","2","male",23,15.0458,"C","0","Mr"
"137","1","1","female",19,26.2833,"S","1","Miss"
"138","0","1","male",37,53.1,"S","1","Mr"
"139","0","3","male",16,9.2167,"S","0","Mr"
"140","0","1","male",24,79.2,"C","0","Mr"
"141","0","3","female",14,15.2458,"C","1","Mrs"
"142","1","3","female",22,7.75,"S","0","Miss"
"143","1","3","female",24,15.85,"S","1","Mrs"
"144","0","3","male",19,6.75,"Q","0","Mr"
"145","0","2","male",18,11.5,"S","0","Mr"
"146","0","2","male",19,36.75,"S","1","Mr"
"147","1","3","male",27,7.7958,"S","0","Mr"
"148","0","3","female",9,34.375,"S","1","Miss"
"149","0","2","male",36,26,"S","1","Mr"
"150","0","2","male",42,13,"S","0","Officer"
"151","0","2","male",51,12.525,"S","0","Officer"
"152","1","1","female",22,66.6,"S","1","Mrs"
"153","0","3","male",55,8.05,"S","0","Mr"
"154","0","3","male",40,14.5,"S","1","Mr"
"155","0","3","male",22,7.3125,"S","0","Mr"
"156","0","1","male",51,61.3792,"C","1","Mr"
"157","1","3","female",16,7.7333,"Q","0","Miss"
"158","0","3","male",30,8.05,"S","0","Mr"
"159","0","3","male",38,8.6625,"S","0","Mr"
"160","0","3","male",4,69.55,"S","1","Master"
"161","0","3","male",44,16.1,"S","1","Mr"
"162","1","2","female",40,15.75,"S","0","Mrs"
"163","0","3","male",26,7.775,"S","0","Mr"
"164","0","3","male",17,8.6625,"S","0","Mr"
"165","0","3","male",1,39.6875,"S","1","Master"
"166","1","3","male",9,20.525,"S","1","Master"
"167","1","1","female",35,55,"S","1","Mrs"
"168","0","3","female",45,27.9,"S","1","Mrs"
"169","0","1","male",62,25.925,"S","0","Mr"
"170","0","3","male",28,56.4958,"S","0","Mr"
"171","0","1","male",61,33.5,"S","0","Mr"
"172","0","3","male",4,29.125,"Q","1","Master"
"173","1","3","female",1,11.1333,"S","1","Miss"
"174","0","3","male",21,7.925,"S","0","Mr"
"175","0","1","male",56,30.6958,"C","0","Mr"
"176","0","3","male",18,7.8542,"S","1","Mr"
"177","0","3","male",4,25.4667,"S","1","Master"
"178","0","1","female",50,28.7125,"C","0","Miss"
"179","0","2","male",30,13,"S","0","Mr"
"180","0","3","male",36,7.8958,"S","0","Mr"
"181","0","3","female",16,69.55,"S","1","Miss"
"182","0","2","male",36,15.05,"C","0","Mr"
"183","0","3","male",9,31.3875,"S","1","Master"
"184","1","2","male",1,39,"S","1","Master"
"185","1","3","female",4,22.025,"S","1","Miss"
"186","0","1","male",47,50,"S","0","Mr"
"187","1","3","female",32,15.5,"Q","1","Mrs"
"188","1","1","male",45,26.55,"S","0","Mr"
"189","0","3","male",40,15.5,"Q","1","Mr"
"190","0","3","male",36,7.8958,"S","0","Mr"
"191","1","2","female",32,13,"S","0","Mrs"
"192","0","2","male",19,13,"S","0","Mr"
"193","1","3","female",19,7.8542,"S","1","Miss"
"194","1","2","male",3,26,"S","1","Master"
"195","1","1","female",44,27.7208,"C","0","Mrs"
"196","1","1","female",58,146.5208,"C","0","Miss"
"197","0","3","male",65,7.75,"Q","0","Mr"
"198","0","3","male",42,8.4042,"S","1","Mr"
"199","1","3","female",22,7.75,"Q","0","Miss"
"200","0","2","female",24,13,"S","0","Miss"
"201","0","3","male",28,9.5,"S","0","Mr"
"202","0","3","male",4,69.55,"S","1","Mr"
"203","0","3","male",34,6.4958,"S","0","Mr"
"204","0","3","male",45,7.225,"C","0","Mr"
"205","1","3","male",18,8.05,"S","0","Mr"
"206","0","3","female",2,10.4625,"S","1","Miss"
"207","0","3","male",32,15.85,"S","1","Mr"
"208","1","3","male",26,18.7875,"C","0","Mr"
"209","1","3","female",16,7.75,"Q","0","Miss"
"210","1","1","male",40,31,"C","0","Mr"
"211","0","3","male",24,7.05,"S","0","Mr"
"212","1","2","female",35,21,"S","0","Miss"
"213","0","3","male",22,7.25,"S","0","Mr"
"214","0","2","male",30,13,"S","0","Mr"
"215","0","3","male",65,7.75,"Q","1","Mr"
"216","1","1","female",31,113.275,"C","1","Miss"
"217","1","3","female",27,7.925,"S","0","Miss"
"218","0","2","male",42,27,"S","1","Mr"
"219","1","1","female",32,76.2917,"C","0","Miss"
"220","0","2","male",30,10.5,"S","0","Mr"
"221","1","3","male",16,8.05,"S","0","Mr"
"222","0","2","male",27,13,"S","0","Mr"
"223","0","3","male",51,8.05,"S","0","Mr"
"224","0","3","male",36,7.8958,"S","0","Mr"
"225","1","1","male",38,90,"S","1","Mr"
"226","0","3","male",22,9.35,"S","0","Mr"
"227","1","2","male",19,10.5,"S","0","Mr"
"228","0","3","male",20,7.25,"S","0","Mr"
"229","0","2","male",18,13,"S","0","Mr"
"230","0","3","female",10,25.4667,"S","1","Miss"
"231","1","1","female",35,83.475,"S","1","Mrs"
"232","0","3","male",29,7.775,"S","0","Mr"
"233","0","2","male",59,13.5,"S","0","Mr"
"234","1","3","female",5,31.3875,"S","1","Miss"
"235","0","2","male",24,10.5,"S","0","Mr"
"236","0","3","female",42,7.55,"S","0","Miss"
"237","0","2","male",44,26,"S","1","Mr"
"238","1","2","female",8,26.25,"S","1","Miss"
"239","0","2","male",19,10.5,"S","0","Mr"
"240","0","2","male",33,12.275,"S","0","Mr"
"241","0","3","female",18,14.4542,"C","1","Miss"
"242","1","3","female",32,15.5,"Q","1","Miss"
"243","0","2","male",29,10.5,"S","0","Mr"
"244","0","3","male",22,7.125,"S","0","Mr"
"245","0","3","male",30,7.225,"C","0","Mr"
"246","0","1","male",44,90,"Q","1","Officer"
"247","0","3","female",25,7.775,"S","0","Miss"
"248","1","2","female",24,14.5,"S","1","Mrs"
"249","1","1","male",37,52.5542,"S","1","Mr"
"250","0","2","male",54,26,"S","1","Officer"
"251","0","3","male",22,7.25,"S","0","Mr"
"252","0","3","female",29,10.4625,"S","1","Mrs"
"253","0","1","male",62,26.55,"S","0","Mr"
"254","0","3","male",30,16.1,"S","1","Mr"
"255","0","3","female",41,20.2125,"S","1","Mrs"
"256","1","3","female",29,15.2458,"C","1","Mrs"
"257","1","1","female",24,79.2,"C","0","Mrs"
"258","1","1","female",30,86.5,"S","0","Miss"
"259","1","1","female",35,135.6333,"C","0","Miss"
"260","1","2","female",50,26,"S","1","Mrs"
"261","0","3","male",65,7.75,"Q","0","Mr"
"262","1","3","male",3,31.3875,"S","1","Master"
"263","0","1","male",52,79.65,"S","1","Mr"
"264","0","1","male",40,27.7208,"S","0","Mr"
"265","0","3","female",30,7.75,"Q","0","Miss"
"266","0","2","male",36,10.5,"S","0","Mr"
"267","0","3","male",16,39.6875,"S","1","Mr"
"268","1","3","male",25,7.775,"S","1","Mr"
"269","1","1","female",58,153.4625,"S","1","Mrs"
"270","1","1","female",35,135.6333,"S","0","Miss"
"271","0","1","male",55,31,"S","0","Mr"
"272","1","3","male",25,7.65,"S","0","Mr"
"273","1","2","female",41,19.5,"S","1","Mrs"
"274","0","1","male",37,29.7,"C","1","Mr"
"275","1","3","female",22,7.75,"Q","0","Miss"
"276","1","1","female",63,77.9583,"S","1","Miss"
"277","0","3","female",45,7.75,"S","0","Miss"
"278","0","2","male",36,10.5,"S","0","Mr"
"279","0","3","male",7,29.125,"Q","1","Master"
"280","1","3","female",35,20.25,"S","1","Mrs"
"281","0","3","male",65,7.75,"Q","0","Mr"
"282","0","3","male",28,7.8542,"S","0","Mr"
"283","0","3","male",16,9.5,"S","0","Mr"
"284","1","3","male",19,8.05,"S","0","Mr"
"285","0","1","male",46,26,"S","0","Mr"
"286","0","3","male",33,8.6625,"C","0","Mr"
"287","1","3","male",30,9.5,"S","0","Mr"
"288","0","3","male",22,7.8958,"S","0","Mr"
"289","1","2","male",42,13,"S","0","Mr"
"290","1","3","female",22,7.75,"Q","0","Miss"
"291","1","1","female",26,78.85,"S","0","Miss"
"292","1","1","female",19,91.0792,"C","1","Mrs"
"293","0","2","male",36,12.875,"C","0","Mr"
"294","0","3","female",24,8.85,"S","0","Miss"
"295","0","3","male",24,7.8958,"S","0","Mr"
"296","0","1","male",40,27.7208,"C","0","Mr"
"297","0","3","male",23,7.2292,"C","0","Mr"
"298","0","1","female",2,151.55,"S","1","Miss"
"299","1","1","male",52,30.5,"S","0","Mr"
"300","1","1","female",50,247.5208,"C","1","Mrs"
"301","1","3","female",22,7.75,"Q","0","Miss"
"302","1","3","male",2,23.25,"Q","1","Mr"
"303","0","3","male",19,8.05,"S","0","Mr"
"304","1","2","female",30,12.35,"Q","0","Miss"
"305","0","3","male",21,8.05,"S","0","Mr"
"306","1","1","male",0,151.55,"S","1","Master"
"307","1","1","female",39,110.8833,"C","0","Miss"
"308","1","1","female",17,108.9,"C","1","Mrs"
"309","0","2","male",30,24,"C","1","Mr"
"310","1","1","female",30,56.9292,"C","0","Miss"
"311","1","1","female",24,83.1583,"C","0","Miss"
"312","1","1","female",18,262.375,"C","1","Miss"
"313","0","2","female",26,26,"S","1","Mrs"
"314","0","3","male",28,7.8958,"S","0","Mr"
"315","0","2","male",43,26.25,"S","1","Mr"
"316","1","3","female",26,7.8542,"S","0","Miss"
"317","1","2","female",24,26,"S","1","Mrs"
"318","0","2","male",54,14,"S","0","Officer"
"319","1","1","female",31,164.8667,"S","1","Miss"
"320","1","1","female",40,134.5,"C","1","Mrs"
"321","0","3","male",22,7.25,"S","0","Mr"
"322","0","3","male",27,7.8958,"S","0","Mr"
"323","1","2","female",30,12.35,"Q","0","Miss"
"324","1","2","female",22,29,"S","1","Mrs"
"325","0","3","male",4,69.55,"S","1","Mr"
"326","1","1","female",36,135.6333,"C","0","Miss"
"327","0","3","male",61,6.2375,"S","0","Mr"
"328","1","2","female",36,13,"S","0","Mrs"
"329","1","3","female",31,20.525,"S","1","Mrs"
"330","1","1","female",16,57.9792,"C","1","Miss"
"331","1","3","female",31,23.25,"Q","1","Miss"
"332","0","1","male",45,28.5,"S","0","Mr"
"333","0","1","male",38,153.4625,"S","1","Mr"
"334","0","3","male",16,18,"S","1","Mr"
"335","1","1","female",36,133.65,"S","1","Mrs"
"336","0","3","male",36,7.8958,"S","0","Mr"
"337","0","1","male",29,66.6,"S","1","Mr"
"338","1","1","female",41,134.5,"C","0","Miss"
"339","1","3","male",45,8.05,"S","0","Mr"
"340","0","1","male",45,35.5,"S","0","Mr"
"341","1","2","male",2,26,"S","1","Master"
"342","1","1","female",24,263,"S","1","Miss"
"343","0","2","male",28,13,"S","0","Mr"
"344","0","2","male",25,13,"S","0","Mr"
"345","0","2","male",36,13,"S","0","Mr"
"346","1","2","female",24,13,"S","0","Miss"
"347","1","2","female",40,13,"S","0","Miss"
"348","1","3","female",26,16.1,"S","1","Mrs"
"349","1","3","male",3,15.9,"S","1","Master"
"350","0","3","male",42,8.6625,"S","0","Mr"
"351","0","3","male",23,9.225,"S","0","Mr"
"352","0","1","male",47,35,"S","0","Mr"
"353","0","3","male",15,7.2292,"C","1","Mr"
"354","0","3","male",25,17.8,"S","1","Mr"
"355","0","3","male",40,7.225,"C","0","Mr"
"356","0","3","male",28,9.5,"S","0","Mr"
"357","1","1","female",22,55,"S","1","Miss"
"358","0","2","female",38,13,"S","0","Miss"
"359","1","3","female",19,7.8792,"Q","0","Miss"
"360","1","3","female",19,7.8792,"Q","0","Miss"
"361","0","3","male",40,27.9,"S","1","Mr"
"362","0","2","male",29,27.7208,"C","1","Mr"
"363","0","3","female",45,14.4542,"C","1","Mrs"
"364","0","3","male",35,7.05,"S","0","Mr"
"365","0","3","male",32,15.5,"Q","1","Mr"
"366","0","3","male",30,7.25,"S","0","Mr"
"367","1","1","female",60,75.25,"C","1","Mrs"
"368","1","3","female",15,7.2292,"C","0","Mrs"
"369","1","3","female",22,7.75,"Q","0","Miss"
"370","1","1","female",24,69.3,"C","0","Mrs"
"371","1","1","male",25,55.4417,"C","1","Mr"
"372","0","3","male",18,6.4958,"S","1","Mr"
"373","0","3","male",19,8.05,"S","0","Mr"
"374","0","1","male",22,135.6333,"C","0","Mr"
"375","0","3","female",3,21.075,"S","1","Miss"
"376","1","1","female",54,82.1708,"C","1","Mrs"
"377","1","3","female",22,7.25,"S","0","Miss"
"378","0","1","male",27,211.5,"C","1","Mr"
"379","0","3","male",20,4.0125,"C","0","Mr"
"380","0","3","male",19,7.775,"S","0","Mr"
"381","1","1","female",42,227.525,"C","0","Miss"
"382","1","3","female",1,15.7417,"C","1","Miss"
"383","0","3","male",32,7.925,"S","0","Mr"
"384","1","1","female",35,52,"S","1","Mrs"
"385","0","3","male",36,7.8958,"S","0","Mr"
"386","0","2","male",18,73.5,"S","0","Mr"
"387","0","3","male",1,46.9,"S","1","Master"
"388","1","2","female",36,13,"S","0","Miss"
"389","0","3","male",25,7.7292,"Q","0","Mr"
"390","1","2","female",17,12,"C","0","Miss"
"391","1","1","male",36,120,"S","1","Mr"
"392","1","3","male",21,7.7958,"S","0","Mr"
"393","0","3","male",28,7.925,"S","1","Mr"
"394","1","1","female",23,113.275,"C","1","Miss"
"395","1","3","female",24,16.7,"S","1","Mrs"
"396","0","3","male",22,7.7958,"S","0","Mr"
"397","0","3","female",31,7.8542,"S","0","Miss"
"398","0","2","male",46,26,"S","0","Mr"
"399","0","2","male",23,10.5,"S","0","Officer"
"400","1","2","female",28,12.65,"S","0","Mrs"
"401","1","3","male",39,7.925,"S","0","Mr"
"402","0","3","male",26,8.05,"S","0","Mr"
"403","0","3","female",21,9.825,"S","1","Miss"
"404","0","3","male",28,15.85,"S","1","Mr"
"405","0","3","female",20,8.6625,"S","0","Miss"
"406","0","2","male",34,21,"S","1","Mr"
"407","0","3","male",51,7.75,"S","0","Mr"
"408","1","2","male",3,18.75,"S","1","Master"
"409","0","3","male",21,7.775,"S","0","Mr"
"410","0","3","female",10,25.4667,"S","1","Miss"
"411","0","3","male",36,7.8958,"S","0","Mr"
"412","0","3","male",21,6.8583,"Q","0","Mr"
"413","1","1","female",33,90,"Q","1","Miss"
"414","0","2","male",36,10.5,"S","0","Mr"
"415","1","3","male",44,7.925,"S","0","Mr"
"416","0","3","female",21,8.05,"S","0","Mrs"
"417","1","2","female",34,32.5,"S","1","Mrs"
"418","1","2","female",18,13,"S","1","Miss"
"419","0","2","male",30,13,"S","0","Mr"
"420","0","3","female",10,24.15,"S","1","Miss"
"421","0","3","male",33,7.8958,"C","0","Mr"
"422","0","3","male",21,7.7333,"Q","0","Mr"
"423","0","3","male",29,7.875,"S","0","Mr"
"424","0","3","female",28,14.4,"S","1","Mrs"
"425","0","3","male",18,20.2125,"S","1","Mr"
"426","0","3","male",22,7.25,"S","0","Mr"
"427","1","2","female",28,26,"S","1","Mrs"
"428","1","2","female",19,26,"S","0","Miss"
"429","0","3","male",65,7.75,"Q","0","Mr"
"430","1","3","male",32,8.05,"S","0","Mr"
"431","1","1","male",28,26.55,"S","0","Mr"
"432","1","3","female",26,16.1,"S","1","Mrs"
"433","1","2","female",42,26,"S","1","Mrs"
"434","0","3","male",17,7.125,"S","0","Mr"
"435","0","1","male",50,55.9,"S","1","Mr"
"436","1","1","female",14,120,"S","1","Miss"
"437","0","3","female",21,34.375,"S","1","Miss"
"438","1","2","female",24,18.75,"S","1","Mrs"
"439","0","1","male",64,263,"S","1","Mr"
"440","0","2","male",31,10.5,"S","0","Mr"
"441","1","2","female",45,26.25,"S","1","Mrs"
"442","0","3","male",20,9.5,"S","0","Mr"
"443","0","3","male",25,7.775,"S","1","Mr"
"444","1","2","female",28,13,"S","0","Mrs"
"445","1","3","male",18,8.1125,"S","0","Mr"
"446","1","1","male",4,81.8583,"S","1","Master"
"447","1","2","female",13,19.5,"S","1","Miss"
"448","1","1","male",34,26.55,"S","0","Mr"
"449","1","3","female",5,19.2583,"C","1","Miss"
"450","1","1","male",52,30.5,"S","0","Officer"
"451","0","2","male",36,27.75,"S","1","Mr"
"452","0","3","male",18,19.9667,"S","1","Mr"
"453","0","1","male",30,27.75,"C","0","Mr"
"454","1","1","male",49,89.1042,"C","1","Mr"
"455","0","3","male",21,8.05,"S","0","Mr"
"456","1","3","male",29,7.8958,"C","0","Mr"
"457","0","1","male",65,26.55,"S","0","Mr"
"458","1","1","female",47,51.8625,"S","1","Mrs"
"459","1","2","female",50,10.5,"S","0","Miss"
"460","0","3","male",65,7.75,"Q","0","Mr"
"461","1","1","male",48,26.55,"S","0","Mr"
"462","0","3","male",34,8.05,"S","0","Mr"
"463","0","1","male",47,38.5,"S","0","Mr"
"464","0","2","male",48,13,"S","0","Mr"
"465","0","3","male",21,8.05,"S","0","Mr"
"466","0","3","male",38,7.05,"S","0","Mr"
"467","0","2","male",36,10.5,"S","0","Mr"
"468","0","1","male",56,26.55,"S","0","Mr"
"469","0","3","male",25,7.725,"Q","0","Mr"
"470","1","3","female",0,19.2583,"C","1","Miss"
"471","0","3","male",22,7.25,"S","0","Mr"
"472","0","3","male",38,8.6625,"S","0","Mr"
"473","1","2","female",33,27.75,"S","1","Mrs"
"474","1","2","female",23,13.7917,"C","0","Mrs"
"475","0","3","female",22,9.8375,"S","0","Miss"
"476","0","1","male",42,52,"S","0","Mr"
"477","0","2","male",34,21,"S","1","Mr"
"478","0","3","male",29,7.0458,"S","1","Mr"
"479","0","3","male",22,7.5208,"S","0","Mr"
"480","1","3","female",2,12.2875,"S","1","Miss"
"481","0","3","male",9,46.9,"S","1","Master"
"482","0","2","male",36,10.5,"S","0","Mr"
"483","0","3","male",50,8.05,"S","0","Mr"
"484","1","3","female",63,9.5875,"S","0","Mrs"
"485","1","1","male",25,91.0792,"C","1","Mr"
"486","0","3","female",10,25.4667,"S","1","Miss"
"487","1","1","female",35,90,"S","1","Mrs"
"488","0","1","male",58,29.7,"C","0","Mr"
"489","0","3","male",30,8.05,"S","0","Mr"
"490","1","3","male",9,15.9,"S","1","Master"
"491","0","3","male",18,19.9667,"S","1","Mr"
"492","0","3","male",21,7.25,"S","0","Mr"
"493","0","1","male",55,30.5,"S","0","Mr"
"494","0","1","male",71,49.5042,"C","0","Mr"
"495","0","3","male",21,8.05,"S","0","Mr"
"496","0","3","male",17,14.4583,"C","0","Mr"
"497","1","1","female",54,78.2667,"C","1","Miss"
"498","0","3","male",21,15.1,"S","0","Mr"
"499","0","1","female",25,151.55,"S","1","Mrs"
"500","0","3","male",24,7.7958,"S","0","Mr"
"501","0","3","male",17,8.6625,"S","0","Mr"
"502","0","3","female",21,7.75,"Q","0","Miss"
"503","0","3","female",21,7.6292,"Q","0","Miss"
"504","0","3","female",37,9.5875,"S","0","Miss"
"505","1","1","female",16,86.5,"S","0","Miss"
"506","0","1","male",18,108.9,"C","1","Mr"
"507","1","2","female",33,26,"S","1","Mrs"
"508","1","1","male",34,26.55,"S","0","Mr"
"509","0","3","male",28,22.525,"S","0","Mr"
"510","1","3","male",26,56.4958,"S","0","Mr"
"511","1","3","male",29,7.75,"Q","0","Mr"
"512","0","3","male",21,8.05,"S","0","Mr"
"513","1","1","male",36,26.2875,"S","0","Mr"
"514","1","1","female",54,59.4,"C","1","Mrs"
"515","0","3","male",24,7.4958,"S","0","Mr"
"516","0","1","male",47,34.0208,"S","0","Mr"
"517","1","2","female",34,10.5,"S","0","Mrs"
"518","0","3","male",65,24.15,"Q","0","Mr"
"519","1","2","female",36,26,"S","1","Mrs"
"520","0","3","male",32,7.8958,"S","0","Mr"
"521","1","1","female",30,93.5,"S","0","Miss"
"522","0","3","male",22,7.8958,"S","0","Mr"
"523","0","3","male",40,7.225,"C","0","Mr"
"524","1","1","female",44,57.9792,"C","1","Mrs"
"525","0","3","male",23,7.2292,"C","0","Mr"
"526","0","3","male",40,7.75,"Q","0","Mr"
"527","1","2","female",50,10.5,"S","0","Miss"
"528","0","1","male",47,221.7792,"S","0","Mr"
"529","0","3","male",39,7.925,"S","0","Mr"
"530","0","2","male",23,11.5,"S","1","Mr"
"531","1","2","female",2,26,"S","1","Miss"
"532","0","3","male",23,7.2292,"C","0","Mr"
"533","0","3","male",17,7.2292,"C","1","Mr"
"534","1","3","female",0,22.3583,"C","1","Mrs"
"535","0","3","female",30,8.6625,"S","0","Miss"
"536","1","2","female",7,26.25,"S","1","Miss"
"537","0","1","male",45,26.55,"S","0","Officer"
"538","1","1","female",30,106.425,"C","0","Miss"
"539","0","3","male",21,14.5,"S","0","Mr"
"540","1","1","female",22,49.5,"C","1","Miss"
"541","1","1","female",36,71,"S","1","Miss"
"542","0","3","female",9,31.275,"S","1","Miss"
"543","0","3","female",11,31.275,"S","1","Miss"
"544","1","2","male",32,26,"S","1","Mr"
"545","0","1","male",50,106.425,"C","1","Mr"
"546","0","1","male",64,26,"S","0","Mr"
"547","1","2","female",19,26,"S","1","Mrs"
"548","1","2","male",34,13.8625,"C","0","Mr"
"549","0","3","male",33,20.525,"S","1","Mr"
"550","1","2","male",8,36.75,"S","1","Master"
"551","1","1","male",17,110.8833,"C","1","Mr"
"552","0","2","male",27,26,"S","0","Mr"
